,country,year,co2_e,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g
810,Belgium,1981,12.5,1.1,0,4910,0.00333,0.112,0.0,2.37,0.0
811,Bangladesh,1981,0.0965,0.00156,0,21.7,0.00065,0,0.0143,0.0205,0.0
812,Bulgaria,1981,9.0,1.03,0,4130,0.035,0.0882,0.0,1.4,0.0
813,Brazil,1981,1.38,0.0467,0,1010,0.0902,0,0.00635,0.407,0.0934
814,Canada,1981,17.4,0.918,0,13.2k,0.923,0.139,2.4,3.41,3.06
815,Switzerland,1981,6.17,0.0802,0,6120,0.483,0.209,0.0,1.88,0.0
816,Chile,1981,2.1,0.0939,0,915,0.0617,0,0.0,0.474,0.0
817,China,1981,1.42,0.298,0,286,0.00566,0,0.0109,0.0811,0.0998
818,Colombia,1981,1.61,0.0901,0,651,0.0447,0,0.0954,0.272,0.264
819,Cyprus,1981,4.49,0,0,1440,0,0,0.0,1.21,0.0
820,Czech Republic,1981,17.6,3.69,0,4640,0.0172,0,0.0,1.1,0.0
821,Germany,1981,13.4,1.84,0,5830,0.0219,0.0721,0.208,1.71,0.0
822,Denmark,1981,10.1,0.959,0,4590,0.00055,0,0.0,2.5,0.143
823,Algeria,1981,2.34,0.00227,0,372,0.00162,0,0.775,0.297,2.32
824,Ecuador,1981,2.03,0,0,377,0.00819,0,0.0,0.406,1.39
825,Egypt,1981,1.15,0.016,0,413,0.0191,0,0.0455,0.341,0.724
826,Spain,1981,5.43,0.404,0,2670,0.05,0.0218,0.0,1.33,0.0
827,Finland,1981,10.7,0.59,0,8490,0.244,0.263,0.0,2.55,0.0
828,France,1981,8.42,0.525,0,4590,0.115,0.167,0.0,1.83,0.0
829,UK,1981,9.98,1.26,0,4570,0.00664,0.058,0.556,1.33,1.59
830,Greece,1981,5.16,0.403,0,2260,0.0301,0,0.0,1.23,0.0
831,"Hong Kong, China",1981,3.75,0.00704,0,2230,0,0,0.0,1.38,0.0
832,Hungary,1981,8.05,0.755,0,2740,0.00135,0,0.0,1.0,0.0
833,Indonesia,1981,0.665,0.00179,0,52,0.00091,0,0.109,0.136,0.53
834,India,1981,0.472,0.0892,0,152,0.00595,0.00036,0.00238,0.0476,0.0209
835,Ireland,1981,7.62,0.576,0,2830,0.0215,0,0.0,1.48,0.0
836,Iran,1981,2.8,0.0249,0,554,0.0134,0,0.105,0.69,1.65
837,Iraq,1981,2.27,0,0,733,0.00372,0,0.0361,0.517,3.17
838,Iceland,1981,7.58,0.155,0,12.9k,1.16,0,0.0,2.47,0.0
839,Israel,1981,5.58,0.00027,0,3070,50µ,0,0.0,2.16,0.0
840,Italy,1981,6.65,0.228,0,3100,0.0656,0.00413,0.204,1.69,0.0263
841,Japan,1981,7.81,0.55,0,4750,0.0645,0.0646,0.0,1.92,0.0
842,South Korea,1981,3.62,0.395,0,972,0.00612,0.00655,0.0,0.618,0.0
843,Kuwait,1981,17.5,0,0,5860,0,0,2.66,3.98,40.7
844,Sri Lanka,1981,0.262,80µ,0,101,0.00882,0,0.0,0.0782,0.0
845,Luxembourg,1981,26.1,4.02,0,11.1k,0.0255,0,0.0,2.83,0.0
846,Morocco,1981,0.773,0.0206,0,252,0.00438,0,0.0,0.206,0.0
847,Mexico,1981,4.09,0.0296,0,929,0.0301,0,0.335,0.789,1.84
848,Malaysia,1981,2.19,0.00658,0,718,0.00938,0,0.134,0.615,0.875
849,Netherlands,1981,11.5,0.311,0,4290,0,0.0222,4.49,2.55,0.0
850,Norway,1981,7.8,0.239,0,19.4k,1.95,0,5.19,2.13,5.93
851,New Zealand,1981,5.24,0.369,0,6500,0.531,0,0.0,1.23,0.0
852,Oman,1981,4.93,0,0,856,0,0,0.536,0.71,13.4
853,Pakistan,1981,0.425,0.0099,0,141,0.00934,0.00015,0.0697,0.066,0.0
854,Peru,1981,1.34,0.008,0,525,0.0388,0,0.0349,0.374,0.562
855,Philippines,1981,0.71,0.00498,0,331,0.00662,0,0.0,0.21,0.0
856,Poland,1981,11.4,2.53,0,2880,0.00511,0,0.113,0.447,0.0
857,Portugal,1981,2.75,0.0404,0,1570,0.0438,0,0.0,0.912,0.0
858,Qatar,1981,51.8,0,0,8360,0,0,15.5,3.05,83.5
859,Romania,1981,8.7,0.572,0,2950,0.049,0,1.29,0.733,0.534
860,Saudi Arabia,1981,17.0,0,0,2170,0,0,0.898,3.24,49.1
861,Singapore,1981,10.9,0.00187,0,2780,0,0,0.0,4.48,0.0
862,Slovak Republic,1981,11.6,1.56,0,4410,0.0338,0.0882,0.0,1.3,0.0
863,Sweden,1981,8.34,0.176,0,11.1k,0.618,0.389,0.0,3.4,0.0
864,Thailand,1981,0.783,0.0104,0,309,0.00528,0,0.00485,0.228,0.00139
865,Trinidad and Tobago,1981,15.7,0,0,2000,0,0,2.44,1.5,8.49
866,Turkey,1981,1.76,0.16,0,519,0.024,0,0.0,0.337,0.0
867,USA,1981,19.6,1.64,0,9980,0.0976,0.107,1.93,3.17,2.07
868,Venezuela,1981,5.89,0.00992,0,2250,0.0838,0,0.911,1.41,7.28
869,Vietnam,1981,0.319,0.0456,0,55.6,0.00235,0,0.00015,0.0303,0.0
870,South Africa,1981,8.77,1.73,0,3570,0.00477,0,0.0,0.442,0.0
871,UAE,1982,31.6,0.0,0,7100,0,0,6.84,5.3,55.3
872,Argentina,1982,3.59,0.0319,0,1200,0.0522,0.00554,0.284,0.747,0.888
873,Australia,1982,15.6,1.93,0,6390,0.0774,0,0.671,1.97,1.4
874,Austria,1982,7.05,0.472,0,4730,0.352,0,0.0,1.38,0.0
875,Belgium,1982,11.9,1.1,0,4900,0.00291,0.137,0.0,2.24,0.0
876,Bangladesh,1982,0.102,0.00184,0,24.5,0.00053,0,0.0181,0.0197,0.0
877,Bulgaria,1982,10.1,1.08,0,4400,0.0294,0.104,0.0,1.35,0.0
878,Brazil,1982,1.35,0.0483,0,1040,0.0952,0,0.00886,0.403,0.111
879,Canada,1982,16.6,0.96,0,13k,0.886,0.132,2.49,3.02,2.99
880,Switzerland,1982,5.79,0.0707,0,6190,0.493,0.205,0.0,1.77,0.0
881,Chile,1982,1.74,0.0617,0,883,0.0665,0,0.0,0.413,0.0
882,China,1982,1.53,0.312,0,299,0.00633,0,0.0101,0.0791,0.0993
883,Colombia,1982,1.63,0.0918,0,676,0.0462,0,0.0995,0.272,0.272
884,Cyprus,1982,4.57,0.0,0,1530,0,0,0.0,1.44,0.0
885,Czech Republic,1982,17.5,3.72,0,4680,0.0139,0,0.0,1.01,0.0
886,Germany,1982,13.0,1.8,0,5820,0.0218,0.0821,0.183,1.62,0.0
887,Denmark,1982,10.5,1.16,0,4680,0.00052,0,0.0,2.15,0.323
888,Algeria,1982,1.92,0.0408,0,415,0.00205,0,0.98,0.305,2.23
889,Ecuador,1982,2.29,0.0,0,396,0.00916,0,0.0,0.433,1.35
890,Egypt,1982,1.24,0.0161,0,453,0.0191,0,0.0485,0.379,0.732
891,Spain,1982,5.46,0.445,0,2660,0.0596,0.0198,0.0,1.25,0.0
892,Finland,1982,8.9,0.651,0,8530,0.233,0.299,0.0,2.34,0.0
893,France,1982,8.06,0.534,0,4620,0.112,0.172,0.0,1.68,0.0
894,UK,1982,9.76,1.17,0,4480,0.00691,0.0671,0.565,1.34,1.84
895,Greece,1982,5.26,0.406,0,2270,0.0313,0,0.0,1.21,0.0
896,"Hong Kong, China",1982,3.88,0.177,0,2360,0,0,0.0,1.32,0.0
897,Hungary,1982,8.1,0.79,0,2830,0.00128,0,0.0,0.952,0.0
898,Indonesia,1982,0.684,0.00165,0,61.1,0.00072,0,0.108,0.138,0.431
899,India,1982,0.475,0.0862,0,159,0.00568,0.00024,0.00305,0.0483,0.0272
900,Ireland,1982,7.41,0.604,0,2790,0.0198,0,0.0,1.28,0.0
901,Iran,1982,3.29,0.0322,0,604,0.0134,0,0.139,0.721,2.87
902,Iraq,1982,2.11,0.0,0,897,0.00357,0,0.0385,0.522,3.36
903,Iceland,1982,6.83,0.143,0,14k,1.27,0,0.0,2.22,0.0
904,Israel,1982,6.22,0.145,0,3170,40µ,0,0.0,2.05,0.0
905,Italy,1982,6.48,0.254,0,3130,0.0631,0.0103,0.208,1.6,0.0311
906,Japan,1982,7.51,0.52,0,4700,0.0596,0.0748,0.0,1.77,0.0
907,South Korea,1982,3.63,0.394,0,1030,0.00446,0.0084,0.0,0.605,0.0
908,Kuwait,1982,14.0,0.0,0,6510,0,0,1.99,4.37,28.3
909,Sri Lanka,1982,0.288,0.00115,0,110,0.0089,0,0.0,0.0863,0.0
910,Luxembourg,1982,24.5,3.7,0,11k,0.0224,0,0.0,2.79,0.0
911,Morocco,1982,0.812,0.0225,0,265,0.00238,0,0.0,0.212,0.0
912,Mexico,1982,4.28,0.0346,0,987,0.0274,0,0.349,0.797,2.13
913,Malaysia,1982,2.12,0.00587,0,757,0.0088,0,0.164,0.627,1.0
914,Netherlands,1982,9.35,0.358,0,4240,0,0.0235,3.82,2.2,0.0
915,Norway,1982,7.56,0.229,0,19.4k,1.93,0,4.97,2.04,6.14
916,New Zealand,1982,5.73,0.359,0,6870,0.485,0,0.0,1.22,0.0
917,Oman,1982,4.45,0.0,0,1020,0,0,0.555,1.02,12.9
918,Pakistan,1982,0.446,0.0109,0,151,0.0095,0.00018,0.0735,0.0703,0.0
919,Peru,1982,1.28,0.00884,0,549,0.0398,0,0.0357,0.355,0.555
920,Philippines,1982,0.697,0.00541,0,332,0.00652,0,0.0,0.197,0.0
921,Poland,1982,11.6,2.59,0,2900,0.00366,0,0.103,0.419,0.0
922,Portugal,1982,2.94,0.0371,0,1640,0.0601,0,0.0,0.948,0.0
923,Qatar,1982,44.5,0.0,0,8880,0,0,16.2,3.78,60.9
924,Romania,1982,8.56,0.544,0,2930,0.0454,0,1.3,0.717,0.536
925,Saudi Arabia,1982,14.4,0.0,0,2600,0,0,0.893,3.38,31.0
926,Singapore,1982,11.8,0.00065,0,2810,0,0,0.0,4.26,0.0
927,Slovak Republic,1982,11.4,1.58,0,4440,0.0294,0.0996,0.0,1.18,0.0
928,Sweden,1982,7.48,0.196,0,11.4k,0.569,0.403,0.0,3.16,0.0
929,Thailand,1982,0.765,0.0132,0,331,0.00667,0,0.0243,0.203,0.0049
930,Trinidad and Tobago,1982,16.4,0.0,0,2330,0,0,2.91,1.64,7.83
931,Turkey,1982,1.87,0.175,0,544,0.0264,0,0.0,0.353,0.0
932,USA,1982,18.4,1.57,0,9540,0.115,0.11,1.78,2.97,2.06
933,Venezuela,1982,5.82,0.00551,0,2070,0.0853,0,0.946,1.35,6.41
934,Vietnam,1982,0.323,0.0493,0,57.9,0.00238,0,0.00028,0.0301,0.0
935,South Africa,1982,9.31,1.84,0,3640,0.00285,0,0.0,0.436,0.0
936,UAE,1983,28.7,0.0,0,7620,0,0,5.71,5.04,49.4
937,Argentina,1983,3.59,0.0284,0,1250,0.0538,0.00994,0.375,0.751,0.877
938,Australia,1983,14.8,1.9,0,6360,0.068,0,0.719,1.91,1.34
939,Austria,1983,6.8,0.505,0,4830,0.349,0,0.0,1.33,0.0
940,Belgium,1983,10.2,0.938,0,5040,0.00294,0.211,0.0,2.03,0.0
941,Bangladesh,1983,0.0951,0.00102,0,27.9,0.00065,0,0.0196,0.0171,0.0
942,Bulgaria,1983,10.1,1.08,0,4580,0.0322,0.118,0.0,1.3,0.0
943,Brazil,1983,1.28,0.053,0,1100,0.0998,0,0.0117,0.373,0.138
944,Canada,1983,16.2,0.994,0,13.5k,0.905,0.165,2.32,2.8,3.12
945,Switzerland,1983,6.3,0.0614,0,6330,0.478,0.212,0.0,1.93,0.0
946,Chile,1983,1.74,0.073,0,901,0.0706,0,0.0,0.395,0.0
947,China,1983,1.59,0.329,0,317,0.00724,0,0.0101,0.0796,0.102
948,Colombia,1983,1.72,0.099,0,680,0.0457,0,0.107,0.276,0.286
949,Cyprus,1983,4.54,0.0,0,1620,0,0,0.0,1.52,0.0
950,Czech Republic,1983,17.5,3.71,0,4810,0.0138,0.00167,0.0,0.986,0.0
951,Germany,1983,13.0,1.87,0,5970,0.0207,0.0863,0.203,1.58,0.0
952,Denmark,1983,9.81,1.11,0,4740,0.00057,0,0.0,2.04,0.409
953,Algeria,1983,2.49,0.0353,0,426,0.00097,0,1.36,0.332,2.13
954,Ecuador,1983,2.26,0.0,0,401,0.0171,0,0.0,0.387,1.49
955,Egypt,1983,1.22,0.0149,0,497,0.0175,0,0.0554,0.406,0.78
956,Spain,1983,5.3,0.466,0,2790,0.0609,0.024,0.0,1.24,0.0
957,Finland,1983,8.53,0.703,0,9120,0.241,0.314,0.0,2.16,0.0
958,France,1983,7.76,0.481,0,4710,0.109,0.227,0.0,1.64,0.0
959,UK,1983,9.7,1.18,0,4550,0.00694,0.0761,0.582,1.29,2.04
960,Greece,1983,5.56,0.495,0,2420,0.0204,0,0.0,1.16,0.0
961,"Hong Kong, China",1983,4.08,0.409,0,2620,0,0,0.0,1.16,0.0
962,Hungary,1983,8.35,0.746,0,2950,0.00125,0.02,0.0,0.906,0.0
963,Indonesia,1983,0.666,0.00161,0,65.8,0.00097,0,0.12,0.133,0.447
964,India,1983,0.503,0.0894,0,166,0.00573,0.00041,0.00354,0.0497,0.0338
965,Ireland,1983,7.4,0.65,0,2850,0.0192,0,0.0,1.15,0.0
966,Iran,1983,3.42,0.0291,0,676,0.0124,0,0.152,0.84,2.81
967,Iraq,1983,2.6,0.0,0,1030,0.00349,0,0.0259,0.581,3.67
968,Iceland,1983,6.54,0.202,0,14.6k,1.32,0,0.0,2.14,0.0
969,Israel,1983,6.08,0.268,0,3310,20µ,0,0.0,1.9,0.0
970,Italy,1983,6.32,0.237,0,3130,0.0629,0.00878,0.187,1.57,0.0395
971,Japan,1983,7.32,0.509,0,4960,0.0611,0.0829,0.0,1.76,0.0
972,South Korea,1983,3.8,0.415,0,1140,0.00596,0.0196,0.0,0.622,0.0
973,Kuwait,1983,13.7,0.0,0,6620,0,0,2.09,4.59,34.9
974,Sri Lanka,1983,0.309,0.00114,0,115,0.00664,0,0.0,0.0932,0.0
975,Luxembourg,1983,22.9,3.39,0,11.1k,0.0217,0,0.0,2.66,0.0
976,Morocco,1983,0.827,0.0271,0,283,0.00195,0,0.0,0.209,0.0
977,Mexico,1983,3.82,0.0385,0,1010,0.0244,0,0.344,0.759,2.02
978,Malaysia,1983,2.57,0.0149,0,796,0.00998,0,0.387,0.655,1.24
979,Netherlands,1983,9.57,0.367,0,4300,0,0.0216,4.05,2.07,0.0
980,Norway,1983,7.79,0.243,0,20.5k,2.2,0,4.89,2.01,7.61
981,New Zealand,1983,5.6,0.394,0,7300,0.54,0,0.0,1.16,0.0
982,Oman,1983,5.53,0.0,0,1180,0,0,0.654,0.729,14.2
983,Pakistan,1983,0.464,0.0119,0,162,0.011,0.00022,0.0701,0.075,0.0
984,Peru,1983,1.08,0.00731,0,514,0.0375,0,0.023,0.306,0.473
985,Philippines,1983,0.686,0.00958,0,357,0.00667,0,0.0,0.2,0.0
986,Poland,1983,11.5,2.56,0,3040,0.00393,0,0.0995,0.428,0.0
987,Portugal,1983,3.02,0.0404,0,1740,0.0694,0,0.0,0.956,0.0
988,Qatar,1983,36.4,0.0,0,8910,0,0,15.1,3.71,49.6
989,Romania,1983,8.74,0.626,0,2970,0.0383,0,1.28,0.639,0.527
990,Saudi Arabia,1983,13.8,0.0,0,2720,0,0,0.819,3.52,20.5
991,Singapore,1983,13.5,0.00126,0,3050,0,0,0.0,4.4,0.0
992,Slovak Republic,1983,11.4,1.57,0,4520,0.031,0.104,0.0,1.15,0.0
993,Sweden,1983,7.0,0.246,0,12.6k,0.656,0.423,0.0,2.73,0.0
994,Thailand,1983,0.84,0.0125,0,360,0.00625,0,0.028,0.223,0.0117
995,Trinidad and Tobago,1983,14.3,0.0,0,2480,0,0,2.97,1.39,6.96
996,Turkey,1983,1.91,0.188,0,556,0.0206,0,0.0,0.362,0.0
997,USA,1983,18.4,1.61,0,9740,0.122,0.113,1.59,2.92,2.05
998,Venezuela,1983,5.65,0.00752,0,2220,0.0949,0,0.908,1.29,5.92
999,Vietnam,1983,0.331,0.0485,0,57.2,0.00183,0,0.00093,0.0337,0.0
1000,South Africa,1983,9.43,1.82,0,3690,0.00163,0,0.0,0.428,0.0
1001,UAE,1984,35.7,0.0,0,7820,0,0,7.13,5.49,44.9
1002,Argentina,1984,3.58,0.0208,0,1300,0.0572,0.0134,0.379,0.696,0.845
1003,Australia,1984,15.3,1.98,0,6680,0.0668,0,0.699,1.97,1.72
1004,Austria,1984,7.13,0.575,0,5070,0.329,0,0.0,1.29,0.0
1005,Belgium,1984,10.6,1.09,0,5290,0.00307,0.242,0.0,1.96,0.0
1006,Bangladesh,1984,0.103,0.0004,0,30.7,0.00086,0,0.0221,0.0168,0.0
1007,Bulgaria,1984,9.71,1.08,0,4770,0.0313,0.122,0.0,1.25,0.0
1008,Brazil,1984,1.27,0.064,0,1200,0.107,0.00106,0.0133,0.369,0.189
1009,Canada,1984,16.7,1.1,0,14.3k,0.963,0.176,2.52,2.8,3.29
1010,Switzerland,1984,6.12,0.0783,0,6600,0.404,0.247,0.0,1.85,0.0
1011,Chile,1984,1.82,0.097,0,961,0.072,0,0.0,0.39,0.0
1012,China,1984,1.7,0.353,0,336,0.00717,0,0.0102,0.0812,0.108
1013,Colombia,1984,1.66,0.101,0,736,0.0499,0,0.107,0.269,0.307
1014,Cyprus,1984,4.64,0.0,0,1630,0,0,0.0,1.52,0.0
1015,Czech Republic,1984,18.1,3.78,0,4960,0.0108,0.0103,0.0,1.05,0.0
1016,Germany,1984,13.3,1.93,0,6240,0.0204,0.116,0.2,1.58,0.0
1017,Denmark,1984,9.95,1.17,0,4980,0.0005,0,0.0406,2.02,0.449
1018,Algeria,1984,3.26,0.0379,0,449,0.00181,0,1.34,0.357,2.24
1019,Ecuador,1984,2.4,0.0,0,404,0.0314,0,0.0,0.378,1.58
1020,Egypt,1984,1.33,0.0147,0,514,0.0168,0,0.0694,0.427,0.872
1021,Spain,1984,5.13,0.471,0,2900,0.0706,0.0518,0.0,1.16,0.0
1022,Finland,1984,8.63,0.805,0,9810,0.233,0.333,0.0,2.18,0.0
1023,France,1984,7.41,0.457,0,4950,0.103,0.299,0.0,1.56,0.0
1024,UK,1984,9.4,0.839,0,4600,0.00607,0.0822,0.568,1.59,2.24
1025,Greece,1984,5.68,0.526,0,2560,0.0249,0,0.0,1.18,0.0
1026,"Hong Kong, China",1984,4.27,0.527,0,2790,0,0,0.0,1.05,0.0
1027,Hungary,1984,8.55,0.729,0,3100,0.00147,0.0306,0.0,0.955,0.0
1028,Indonesia,1984,0.697,0.00165,0,71.1,0.00111,0,0.159,0.137,0.464
1029,India,1984,0.504,0.0918,0,184,0.00605,0.00046,0.00396,0.0521,0.0368
1030,Ireland,1984,7.31,0.62,0,2960,0.0168,0,0.0,1.13,0.0
1031,Iran,1984,3.3,0.0216,0,715,0.011,0,0.17,0.873,2.25
1032,Iraq,1984,2.62,0.0,0,1200,0.00347,0,0.0317,0.619,3.99
1033,Iceland,1984,7.58,0.276,0,15.2k,1.36,0,0.0,2.2,0.0
1034,Israel,1984,5.93,0.427,0,3360,40µ,0,0.0,1.74,0.0
1035,Italy,1984,6.42,0.269,0,3300,0.0643,0.0104,0.197,1.49,0.04
1036,Japan,1984,7.74,0.566,0,5180,0.0516,0.0968,0.0,1.83,0.0
1037,South Korea,1984,4.07,0.493,0,1250,0.00517,0.0254,0.0,0.615,0.0
1038,Kuwait,1984,17.1,0.0,0,7050,0,0,2.16,4.61,36.8
1039,Sri Lanka,1984,0.242,0.00218,0,118,0.0112,0,0.0,0.0773,0.0
1040,Luxembourg,1984,24.7,3.86,0,11.7k,0.0216,0,0.0,2.65,0.0
1041,Morocco,1984,0.809,0.0228,0,285,0.00145,0,0.0,0.213,0.0
1042,Mexico,1984,3.73,0.0378,0,1050,0.0272,0,0.331,0.786,1.99
1043,Malaysia,1984,2.29,0.0157,0,844,0.0192,0,0.574,0.628,1.41
1044,Netherlands,1984,9.99,0.442,0,4410,0,0.0222,4.07,2.03,0.0
1045,Norway,1984,8.23,0.271,0,21.9k,2.2,0,5.35,2.07,8.69
1046,New Zealand,1984,5.97,0.364,0,7510,0.533,0,0.0,1.17,0.0
1047,Oman,1984,5.63,0.0,0,1390,0,0,0.781,1.15,14.5
1048,Pakistan,1984,0.477,0.0131,0,174,0.012,0.0003,0.0695,0.0788,0.0
1049,Peru,1984,1.07,0.00569,0,549,0.0393,0,0.0303,0.309,0.501
1050,Philippines,1984,0.584,0.0149,0,337,0.00863,0,0.0,0.159,0.0
1051,Poland,1984,11.7,2.65,0,3160,0.00328,0,0.108,0.436,0.0
1052,Portugal,1984,2.9,0.0499,0,1770,0.0843,0,0.0,0.95,0.0
1053,Qatar,1984,36.1,0.0,0,9370,0,0,15.5,3.8,50.2
1054,Romania,1984,8.22,0.623,0,3080,0.043,0,1.27,0.61,0.52
1055,Saudi Arabia,1984,12.5,0.0,0,3080,0,0,1.2,3.7,17.6
1056,Singapore,1984,12.6,0.00189,0,3260,0,0,0.0,4.51,0.0
1057,Slovak Republic,1984,11.7,1.66,0,4620,0.0262,0.122,0.0,1.21,0.0
1058,Sweden,1984,6.88,0.296,0,13.7k,0.701,0.525,0.0,2.61,0.0
1059,Thailand,1984,0.892,0.0155,0,392,0.00683,0,0.0411,0.228,0.0208
1060,Trinidad and Tobago,1984,15.2,0.0,0,2540,0,0,3.07,1.17,7.31
1061,Turkey,1984,1.97,0.207,0,614,0.0239,0,0.0,0.353,0.0
1062,USA,1984,18.8,1.72,0,10.3k,0.117,0.125,1.71,2.99,2.08
1063,Venezuela,1984,5.52,0.00801,0,2340,0.103,0,0.978,1.18,5.78
1064,Vietnam,1984,0.294,0.0474,0,66.2,0.00233,0,0.00079,0.0322,0.0
1065,South Africa,1984,9.92,1.91,0,3920,0.0015,0.0105,0.0,0.454,0.0
1066,UAE,1985,36.4,0.0,8920,8090,0,0,8.12,6.5,41.0
1067,Argentina,1985,3.32,0.0302,1500,1290,0.0585,0.0163,0.384,0.62,0.8
1068,Australia,1985,15.4,2.02,7900,6990,0.0743,0,0.735,1.85,1.96
1069,Austria,1985,7.15,0.574,5850,5280,0.352,0,0.0,1.29,0.0
1070,Belgium,1985,10.5,1.08,5780,5500,0.00251,0.302,0.0,1.98,0.0
1071,Bangladesh,1985,0.112,0.00054,49.9,31.7,0.00069,0,0.0244,0.0183,0.0
1072,Bulgaria,1985,9.94,1.12,4640,4680,0.0215,0.126,0.0,1.15,0.0
1073,Brazil,1985,1.33,0.0741,1430,1270,0.113,0.00213,0.0164,0.366,0.218
1074,Canada,1985,16.4,1.04,17.8k,14.9k,1.01,0.201,2.69,2.77,3.33
1075,Switzerland,1985,6.19,0.0782,8750,6850,0.427,0.3,0.0,1.87,0.0
1076,Chile,1985,1.74,0.0957,1150,983,0.0786,0,0.0,0.374,0.0
1077,China,1985,1.82,0.379,382,363,0.00752,0,0.0104,0.0834,0.116
1078,Colombia,1985,1.61,0.102,981,771,0.0526,0,0.106,0.273,0.318
1079,Cyprus,1985,4.47,0.132,1870,1700,0,0,0.0,1.49,0.0
1080,Czech Republic,1985,17.9,3.7,5630,5140,0.014,0.02,0.0,1.03,0.0
1081,Germany,1985,13.5,1.92,6730,6450,0.0192,0.153,0.189,1.63,0.0
1082,Denmark,1985,11.8,1.42,5700,5350,0.0005,0,0.197,2.08,0.572
1083,Algeria,1985,3.24,0.0384,547,473,0.00251,0,1.43,0.355,2.1
1084,Ecuador,1985,2.14,0.0,503,389,0.031,0,0.0,0.455,1.68
1085,Egypt,1985,1.3,0.0151,614,489,0.0147,0,0.0828,0.422,0.915
1086,Spain,1985,5.17,0.464,3270,2980,0.0699,0.0627,0.0,1.11,0.0
1087,Finland,1985,10.1,1.02,10.1k,10.5k,0.216,0.334,0.0,2.19,0.0
1088,France,1985,7.29,0.441,6220,5270,0.0963,0.349,0.0,1.53,0.0
1089,UK,1985,9.93,1.11,5280,4830,0.00622,0.093,0.633,1.37,2.26
1090,Greece,1985,6.0,0.606,2780,2670,0.0243,0,0.0,1.2,0.0
1091,"Hong Kong, China",1985,4.33,0.643,3640,2920,0,0,0.0,0.975,0.0
1092,Hungary,1985,8.14,0.72,2540,3190,0.00126,0.0529,0.0,0.977,0.0
1093,Indonesia,1985,0.738,0.00546,99.2,79.4,0.00153,0,0.171,0.132,0.402
1094,India,1985,0.541,0.094,238,195,0.00559,0.00055,0.00474,0.0553,0.0385
1095,Ireland,1985,7.62,0.71,3440,3110,0.0203,0,0.0,1.12,0.0
1096,Iran,1985,3.38,0.0204,822,751,0.0103,0,0.176,0.921,2.33
1097,Iraq,1985,2.84,0.0,1350,1260,0.00339,0,0.0446,0.709,4.49
1098,Iceland,1985,6.72,0.291,15.9k,14.8k,1.32,0,0.0,2.16,0.0
1099,Israel,1985,6.1,0.458,3820,3490,40µ,0,0.0,1.61,0.0
1100,Italy,1985,6.49,0.265,3260,3390,0.0622,0.0106,0.203,1.48,0.0419
1101,Japan,1985,7.49,0.588,5510,5320,0.0594,0.114,0.0,1.72,0.0
1102,South Korea,1985,4.38,0.54,1540,1340,0.00777,0.0355,0.0,0.639,0.0
1103,Kuwait,1985,16.8,0.0,8880,7510,0,0,1.98,4.33,32.0
1104,Sri Lanka,1985,0.242,0.0013,152,128,0.0127,0,0.0,0.0704,0.0
1105,Luxembourg,1985,25.2,3.82,2560,12.1k,0.0204,0,0.0,2.81,0.0
1106,Morocco,1985,0.793,0.0294,326,297,0.00187,0,0.0,0.207,0.0
1107,Mexico,1985,3.79,0.0401,1270,1090,0.0296,0,0.314,0.801,1.92
1108,Malaysia,1985,2.33,0.0204,958,870,0.0204,0,0.617,0.61,1.36
1109,Netherlands,1985,10.1,0.438,4340,4520,20µ,0.0232,4.24,2.04,0.0
1110,Norway,1985,7.83,0.269,24.9k,22.6k,2.12,0,5.38,2.17,9.44
1111,New Zealand,1985,6.69,0.333,8710,7560,0.518,0,0.0,1.09,0.0
1112,Oman,1985,5.76,0.0,1930,1620,0,0,0.95,0.942,16.5
1113,Pakistan,1985,0.508,0.0143,313,189,0.011,0.00031,0.0687,0.0814,0.0
1114,Peru,1985,0.984,0.00607,613,542,0.0415,0,0.0231,0.296,0.5
1115,Philippines,1985,0.514,0.0206,419,347,0.00883,0,0.0,0.137,0.0
1116,Poland,1985,12.0,2.69,3710,3260,0.00428,0,0.111,0.44,0.0
1117,Portugal,1985,2.73,0.0775,1900,1870,0.0923,0,0.0,0.915,0.0
1118,Qatar,1985,33.4,0.0,10.7k,10.2k,0,0,13.1,4.92,41.3
1119,Romania,1985,8.41,0.647,3110,3130,0.0481,0,1.21,0.651,0.488
1120,Saudi Arabia,1985,13.2,0.0,3940,3120,0,0,1.17,3.56,13.1
1121,Singapore,1985,12.3,0.00419,3650,3440,0,0,0.0,4.49,0.0
1122,Slovak Republic,1985,11.5,1.64,4360,4840,0.0354,0.157,0.0,1.2,0.0
1123,Sweden,1985,7.47,0.348,16.4k,15k,0.731,0.603,0.0,2.8,0.0
1124,Thailand,1985,0.928,0.0305,443,417,0.00607,0,0.053,0.212,0.0386
1125,Trinidad and Tobago,1985,17.7,0.0,2580,2520,0,0,3.1,1.23,7.38
1126,Turkey,1985,2.15,0.243,696,659,0.021,0,0.0,0.362,0.0
1127,USA,1985,18.7,1.74,11k,10.4k,0.101,0.145,1.6,2.95,2.07
1128,Venezuela,1985,5.84,0.0103,2730,2330,0.113,0,0.955,1.18,5.28
1129,Vietnam,1985,0.346,0.0461,83.2,69.2,0.00211,0,0.00048,0.0319,0.0
1130,South Africa,1985,9.92,1.91,4390,3990,0.00163,0.0139,0.0,0.432,0.0
