,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g,country_Australia,country_Austria,country_Bangladesh,country_Belgium,country_Bulgaria,country_Canada,country_Denmark,country_Egypt,country_Finland,country_France,country_Germany,country_Greece,country_Hungary,country_Iceland,country_Indonesia,country_Ireland,country_Italy,country_Luxembourg,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Switzerland,country_UK,country_USA,country_Venezuela,country_infrequent_sklearn
1848,-0.2629689768495409,2.2872764001465438,2.0631122866678044,1.565572100707183,5.88738116641667,-0.27512254904976585,0.34695432445167873,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
265,-0.37698392335247477,-0.6812088491748205,1.8728674557796456,3.886462477850454,-0.4034042857537125,-0.27512254904976585,0.5009875868570475,-0.22634916404923847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3279,1.2511004740227532,0.7535590213305055,0.30525004926121785,-0.34118170356293953,-0.4034042857537125,-0.27512254904976585,-0.4085088125273799,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
797,1.336918175691628,-0.6812088491748205,-0.05621512942628372,-0.2287321202341887,0.32082123473110097,-0.27512254904976585,-0.07313639119932693,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2252,-0.0778479346781106,0.677579934591923,0.5088120183115477,0.904103963479237,-0.4034042857537125,-0.27512254904976585,0.1089029189161089,-0.25129545366178885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841,0.025133307324539375,-0.6812088491748205,0.017980354620098185,-0.15568303029684163,0.19334276301311093,-0.27512254904976585,0.33995281252416193,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2830,-0.6491486343594782,-0.462106366486815,-0.7435697034252012,-0.3124222193356376,-0.4034042857537125,-0.22725148870298525,-0.45261833767073545,0.004251903344824921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3293,-0.3671761860188891,-0.15112219751029116,-0.1304106134726656,-0.34118170356293953,-0.4034042857537125,-0.27512254904976585,-0.5030292235488562,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940,-0.08520373767829989,0.5697956487534688,0.373738188380955,0.7775622328791083,-0.4034042857537125,-0.27512254904976585,0.031886287713424444,-0.25129545366178885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1.2265811306887888,-0.6812088491748205,-0.5793884143687202,-0.29200298553425313,-0.4034042857537125,-0.27512254904976585,-0.11514546276442754,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
